コード,銘柄名,市場・商品区分,33業種区分,17業種区分
1301.T,極洋,東証プライム,水産・農林業,食品
1332.T,ニッスイ,東証プライム,水産・農林業,食品
1333.T,マルハニチロ,東証プライム,水産・農林業,食品
1375.T,ユキグニファクトリー,東証プライム,水産・農林業,食品
1377.T,サカタのタネ,東証プライム,水産・農林業,食品
1379.T,ホクト,東証プライム,水産・農林業,食品
1414.T,ショーボンドホールディングス,東証プライム,建設業,建設・資材
1417.T,ミライト・ワン,東証プライム,建設業,建設・資材
1419.T,タマホーム,東証プライム,建設業,建設・資材
1429.T,日本アクア,東証プライム,建設業,建設・資材
1433.T,ベステラ,東証プライム,建設業,建設・資材
1515.T,日鉄鉱業,東証プライム,鉱業,エネルギー資源
1518.T,三井松島ホールディングス,東証プライム,その他製品,情報通信・サービスその他
1605.T,ＩＮＰＥＸ,東証プライム,鉱業,エネルギー資源
1662.T,石油資源開発,東証プライム,鉱業,エネルギー資源
1663.T,Ｋ＆Ｏエナジーグループ,東証プライム,鉱業,エネルギー資源
167A.T,リョーサン菱洋ホールディングス,東証プライム,卸売業,商社・卸売
1719.T,安藤・間,東証プライム,建設業,建設・資材
1720.T,東急建設,東証プライム,建設業,建設・資材
1721.T,コムシスホールディングス,東証プライム,建設業,建設・資材
1726.T,ビーアールホールディングス,東証プライム,建設業,建設・資材
1762.T,高松コンストラクショングループ,東証プライム,建設業,建設・資材
1766.T,東建コーポレーション,東証プライム,建設業,建設・資材
1780.T,ヤマウラ,東証プライム,建設業,建設・資材
1786.T,オリエンタル白石,東証プライム,建設業,建設・資材
1801.T,大成建設,東証プライム,建設業,建設・資材
1802.T,大林組,東証プライム,建設業,建設・資材
1803.T,清水建設,東証プライム,建設業,建設・資材
1808.T,長谷工コーポレーション,東証プライム,建設業,建設・資材
1812.T,鹿島建設,東証プライム,建設業,建設・資材
1813.T,不動テトラ,東証プライム,建設業,建設・資材
1814.T,大末建設,東証プライム,建設業,建設・資材
1815.T,鉄建建設,東証プライム,建設業,建設・資材
1820.T,西松建設,東証プライム,建設業,建設・資材
1821.T,三井住友建設,東証プライム,建設業,建設・資材
1833.T,奥村組,東証プライム,建設業,建設・資材
1835.T,東鉄工業,東証プライム,建設業,建設・資材
1852.T,淺沼組,東証プライム,建設業,建設・資材
1860.T,戸田建設,東証プライム,建設業,建設・資材
1861.T,熊谷組,東証プライム,建設業,建設・資材
1870.T,矢作建設工業,東証プライム,建設業,建設・資材
1871.T,ピーエス・コンストラクション,東証プライム,建設業,建設・資材
1873.T,日本ハウスホールディングス,東証プライム,建設業,建設・資材
1878.T,大東建託,東証プライム,不動産業,不動産
1879.T,新日本建設,東証プライム,建設業,建設・資材
1882.T,東亜道路工業,東証プライム,建設業,建設・資材
1885.T,東亜建設工業,東証プライム,建設業,建設・資材
1887.T,日本国土開発,東証プライム,建設業,建設・資材
1888.T,若築建設,東証プライム,建設業,建設・資材
1890.T,東洋建設,東証プライム,建設業,建設・資材
1893.T,五洋建設,東証プライム,建設業,建設・資材
1898.T,世紀東急工業,東証プライム,建設業,建設・資材
1899.T,福田組,東証プライム,建設業,建設・資材
1911.T,住友林業,東証プライム,建設業,建設・資材
1925.T,大和ハウス工業,東証プライム,建設業,建設・資材
1926.T,ライト工業,東証プライム,建設業,建設・資材
1928.T,積水ハウス,東証プライム,建設業,建設・資材
1929.T,日特建設,東証プライム,建設業,建設・資材
